,"(Also Known As..., Alias)","(Audio, Audio brand)","(Audio, Speakers)","(Audio, Subwoofer)","(Audio, Surround sound)","(Basic Specs, 3D enabled)","(Basic Specs, Base discrete GPU brand)","(Basic Specs, CPU brand)","(Basic Specs, CPU family)","(Basic Specs, Carrier options)","(Basic Specs, Graphics type)","(Basic Specs, Integrated GPU model)","(Basic Specs, Laptop type)","(Basic Specs, Operating system)","(Basic Specs, Optical drive type)","(Basic Specs, Screen size (diagonal))","(Basic Specs, The Verge Battery Test)","(Basic Specs, Thickness)","(Basic Specs, Touch technology)","(Basic Specs, Weight)","(Battery, Chemistry)","(Battery, Quoted time)","(Battery, Removable)","(Battery, Size)","(Benchmarks, 3DMark06 (GPU))","(Benchmarks, 3DMark06 (IGP))","(Benchmarks, 3DMark11 (GPU))","(Benchmarks, 3DMark11 (IGP))","(Benchmarks, 3DMarkVantage (GPU))","(Benchmarks, 3DMarkVantage (IGP))","(Benchmarks, GeekBench)","(Benchmarks, HAWX)","(Benchmarks, Just Cause 2)","(Benchmarks, PCMarkVantage)","(Benchmarks, The Verge Battery Test)","(Benchmarks, The Verge Battery Test (extended battery))","(Benchmarks, XBench)","(Bundled Accessories, Bundled Accessories)","(Connectivity, 3G)","(Connectivity, 4G)","(Connectivity, 802.11n frequencies)","(Connectivity, Bluetooth)","(Connectivity, Bluetooth version)","(Connectivity, CDMA)","(Connectivity, Carrier options)","(Connectivity, GPS)","(Connectivity, GSM)","(Connectivity, LTE)","(Connectivity, NFC)","(Connectivity, Other carrier options)","(Connectivity, WWAN data standards supported)","(Connectivity, Wi-Fi)","(Connectivity, Wi-Fi options)","(Connectivity, WiMAX)","(Connectivity, Wireless video)","(Display (base), 3D enabled)","(Display (base), Backlight)","(Display (base), Display surface)","(Display (base), Multitouch)","(Display (base), PPI)","(Display (base), Resolution (X))","(Display (base), Resolution (Y))","(Display (base), Screen size (diagonal))","(Display (base), Technology)","(Display (base), Touch technology)","(Display (max), 3D enabled)","(Display (max), Backlit)","(Display (max), Multitouch)","(Display (max), PPI)","(Display (max), Resolution (X))","(Display (max), Resolution (Y))","(Display (max), Size (diagonal))","(Display (max), Technology)","(Display (max), Touch technology)","(GPU (base), Base discrete GPU brand)","(GPU (base), Dedicated VRAM size)","(GPU (base), Discrete GPU model)","(GPU (base), Graphics type)","(GPU (base), Integrated GPU brand)","(GPU (base), Integrated GPU model)","(GPU (base), SLI / Crossfire)","(GPU (max), Dedicated VRAM size)","(GPU (max), Discrete GPU brand)","(GPU (max), Discrete GPU model)","(GPU (max), Integrated GPU brand)","(GPU (max), Integrated GPU model)","(GPU (max), SLI / Crossfire)","(Hardware, Color)","(Hardware, Depth)","(Hardware, Laptop type)","(Hardware, Thickness)","(Hardware, Weight)","(Hardware, Width)","(Keyboard, Backlit)","(Keyboard, Number pad)","(Keyboard, Type)","(Memory, Base RAM size)","(Memory, Base RAM speed)","(Memory, Max. config RAM size)","(Memory, RAM slots)","(Memory, RAM type)","(Mouse, Multitouch)","(Mouse, Multitouch points)","(Mouse, Type(s))","(Optical Drive, Compatible media)","(Optical Drive, Optical drive type)","(Port options, 3.5mm digital optical audio (S/PDIF))","(Port options, 3.5mm headphone)","(Port options, 3.5mm line-in / microphone)","(Port options, 3.5mm mic / headphone combo)","(Port options, Card slot(s))","(Port options, Combo eSATA / USB)","(Port options, DVI)","(Port options, Digital optical audio (S/PDIF))","(Port options, DisplayPort)","(Port options, DisplayPort++)","(Port options, Docking connector)","(Port options, Ethernet)","(Port options, Ethernet type)","(Port options, FireWire 400)","(Port options, FireWire 800)","(Port options, HDMI)","(Port options, HDMI input(s))","(Port options, Micro DVI)","(Port options, Micro HDMI)","(Port options, Mini DVI)","(Port options, Mini DisplayPort)","(Port options, Mini HDMI)","(Port options, Mini VGA)","(Port options, Other)","(Port options, Proprietary (data))","(Port options, Thunderbolt)","(Port options, USB)","(Port options, USB 3.0)","(Port options, VGA)","(Port options, eSATA)","(Processor (base), CPU brand)","(Processor (base), CPU family)","(Processor (base), Clockspeed)","(Processor (base), Cores)","(Processor (base), Model)","(Processor (base), Turbo clockspeed)","(Processor (max), Brand)","(Processor (max), Clockspeed)","(Processor (max), Cores)","(Processor (max), Family)","(Processor (max), Model)","(Processor (max), Turbo clockspeed)","(Reference, Brand)","(Reference, Name)","(Reference, url)","(Security, Trusted platform module)","(Sensors, Accelerometer)","(Sensors, Ambient light)","(Sensors, Biometric scanner)","(Sensors, Proximity )","(Software, Notable apps)","(Software, Operating system)","(Storage, Base drive capacity)","(Storage, Base drive type)","(Storage, Card reader)","(Storage, Card reader support)","(Storage, Max. config HDD)","(Storage, Max. config Hybrid)","(Storage, Max. config SSD)","(Storage, Options)","(Webcam, Effective pixels)","(Webcam, Video framerate)","(Webcam, Video resolution)"
XPS 14 (2012),,,2,,,,,Intel,Ivy Bridge,,Switchable,HD Graphics 4000,Mainstream,Windows 7,,14 inches,6 hours and 59 minutes,0.91 inches,,4.6 pounds,Lithium Polymer (Li-Po),,No,"8 cell, 69 Wh",,,,,4373,,,,,10227,6 hours and 59 minutes,,,,Optional,Optional,,Yes,4.0,,,,,,,,"UMTS, WiMAX, EDGE, HSPA+, HSUPA, HSDPA, GPRS",Yes,"802.11n, 802.11g, 802.11b, 802.11a",Optional,WiDi,,WLED,,,,1600 px,900 px,14 inches,LCD,,,,,,,,,,,,,,Switchable,Intel,HD Graphics 4000,,1 GB,Nvidia,GeForce GT 630M,Intel,HD Graphics 4000,,Silver,9.2 inches,Mainstream,0.91 inches,4.6 pounds,13.2 inches,Yes,No,Chiclet,4 GB,1333 MHz,8 GB,,DDR3,,,Trackpad,,,,1,,,,,,,,,,1,,,,1,,,,,1,,,,,,,2,,,Intel,Ivy Bridge,1.7 GHz,2,Core i5-3317U,2.6 GHz,Intel,1.9 GHz,2,Ivy Bridge,Core i7-3517U,3 GHz,Dell,XPS 14 (2012),http://www.theverge.com/products/xps-14-2012/5818,,,,,,,Windows 7,500 GB,HDD (5400RPM),Yes,"Other, SD",,,512 GB,"HDD (5400RPM), Flash Memory (SSD)",1.3 megapixels,,
N56VM,,Bang and Olufsen ICEpower,,,,,Nvidia,Intel,Ivy Bridge,,Discrete,,Mainstream,Windows 7,,15.6 inches,,3.4 cm,,2.7 kg,,,,6 cell,,,,,,,,,,,,,,,,,,Optional,4.0,,,,,,,,,Yes,"802.11n, 802.11g, 802.11b",,,,,,,,1366 px,768 px,15.6 inches,,,,,,,1920 px,1080 px,15.6 inches,,,Nvidia,,GeForce GT 630M,Discrete,,,,,,,,,,Black / Silver,25.5 cm,Mainstream,3.4 cm,2.7 kg,38 cm,,Yes,Chiclet,,1600 MHz,8 GB,2,DDR3,,,Trackpad,BD-ROM,,,1,1,,,,,,,,,1,10/100/1000 (Gigabit),,,1,,,,,,,,,,,,4,1,,Intel,Ivy Bridge,2.3 GHz,4,Core i7-3610QM,,,,,,,,Asus,N56VM,http://www.theverge.com/products/n56vm/5814,,,,,,,Windows 7,500 MB,HDD (5400RPM),Yes,"SD, Memory Stick, MMC",1 TB,,,"HDD (5400RPM), HDD (7200RPM)",,,
Envy 13,"VM173UA#ABA, Envy 13-1030nr",Beats,,,,,ATI ,Intel,Penryn,,Switchable,,Ultraportable,Windows 7,External,13.1 inches,,0.8 inches,,5.07 pounds,Lithium Polymer (Li-Po),,Yes,4 cell,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,Yes,"802.11n, 802.11g, 802.11b, 802.11a",,,,LED,,,,1366 px,768 px,13.1 inches,LCD,,,,,,,,,,,ATI ,,Radeon HD 4330 Graphics M92LP,Switchable,Intel,,,,,,,,,Black / Silver,8.46 inches,Ultraportable,0.8 inches,5.07 pounds,12.59 inches,,,Chiclet,3 GB,,5 GB,,DDR3,,,Trackpad,DVD±R/RW,External,,,,1,,,,,,,,1,,,,1,,,,,,,,,,,2,,,,Intel,Penryn,1.86 GHz,2,Core 2 Duo SL9400,,,,,,,,HP,Envy 13,http://www.theverge.com/products/envy-13/5797,,,,,,,Windows 7,250 GB,HDD (5400RPM),Yes,Other,,,,,0.3 megapixels,,VGA
Vostro 3560,,,2,,,,,Intel,Sandy Bridge,,Other,HD Graphics 3000,Mainstream,Windows 7,,15.6 inches,,,,5.75 pounds,,,,,,,,,,,,,,,,,,,,,,Yes,4.0,,,,,,,,,Yes,"802.11n, 802.11g, 802.11b",,,,WLED,Matte,,,1366 px,768 px,15.6 inches,LCD,,,WLED,,,1920 px,1080 px,15.6 inches,LCD,,,,,Other,Intel,HD Graphics 3000,,1 GB,AMD,Radeon HD 7670M,,,,"Silver, Bronze, Red",,Mainstream,,5.75 pounds,,Optional,No,Chiclet,4 GB,1600 MHz,8 GB,2,DDR3,,,Trackpad,DVD±R/RW,,,1,,,,,,,,,,1,10/100/1000 (Gigabit),,,,,,,,,,,,,,,4,,,Intel,Sandy Bridge,2.4 GHz,2,Core i3-2370M,,Intel,2.1 GHz,4,Ivy Bridge,Core i7-3612QM,3.1 GHz,Dell,Vostro 3560,http://www.theverge.com/products/vostro-3560/5790,,,,,,,Windows 7,320 GB,HDD (7200RPM),,,750 GB,,,HDD (7200RPM),,,
MacBook Pro with Retina display (15-inch),,,2,,,,Nvidia,Intel,Ivy Bridge,,Switchable,HD Graphics 4000,Mainstream,Mac OS X,,15.4 inches,,.71 inches,,4.46 pounds,Lithium Polymer (Li-Po),7 hr,No,95 Wh,,,,,,,13014,,,,,,,,,,"5GHz, 2.4GHz",Yes,4.0,,,,,,,,,Yes,"802.11n, 802.11g, 802.11b, 802.11a",,,,LED,Glossy,,220,2880 px,1800 px,15.4 inches,IPS LCD,,,,,,,,,,,Nvidia,1 GB,GeForce GT 650M,Switchable,Intel,HD Graphics 4000,,,,,,,,Silver,9.73 inches,Mainstream,.71 inches,4.46 pounds,14.13 inches,Yes,No,Chiclet,8 GB,1600 MHz,16 GB,,DDR3,Yes,4,Trackpad,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,2,,2,,,Intel,Ivy Bridge,2.3 GHz,4,Core i7-3615QM,3.3 GHz,Intel,2.7 GHz,4,Ivy Bridge,Core i7-3820QM,3.7 GHz,Apple,MacBook Pro with Retina display (15-inch),http://www.theverge.com/products/macbook-pro-with-retina-display-15-inch/5782,,,Yes,,,,Mac OS X,256 GB,Flash (SSD),Yes,SD,,,768 GB,Flash Memory (SSD),,,720p
T61p,,,2,,,,Nvidia,Intel,,,Discrete,PM965,Mainstream,"Windows Vista, Windows XP",,15.4 inches,,1.4 inches,,5.9 pounds,Lithium Ion (Li-Ion),5.5 hr,Yes,,,,,,,,,,,,,,,,Yes,,,Yes,,,,,,,,,HSDPA,Yes,"802.11n, 802.11g, 802.11b, 802.11a",,,,,,,,1280 px,800 px,15.4 inches,LCD,,,,,,1920 px,1200 px,15.4 inches,LCD,,Nvidia,128 MB,Quadro NVS 140M,Discrete,Intel,PM965,,255.98 MB,Nvidia,Quadro FX570M,Intel,GM965,,Black,10 inches,Mainstream,1.4 inches,5.9 pounds,14.1 inches,,Yes,Standard,256 MB,667 MHz,2 GB,,DDR2,,,"Trackpad, Trackball","CD-ROM, DVD-ROM, DVD/CD-RW combo",,,1,1,,PC Card (type II),,,,,,Yes,1,10/100/1000 (Gigabit),,1,,,,,,,,,,,,3,,1,,Intel,,1.8 GHz,2,Core Duo T7100,,Intel,2.4 GHz,2,,Core Duo T7700,,Lenovo,T61p,http://www.theverge.com/products/t61p/5780,,,,,,,"Windows Vista, Windows XP",60 GB,HDD (5400RPM),Yes,"SD, Memory Stick, xD, MMC",160 MB,,,"HDD (5400RPM), HDD (7200RPM)",,,
"MacBook Pro (15-inch, mid 2012)",,,2,Yes,,,Nvidia,Intel,Ivy Bridge,,Switchable,HD Graphics 4000,Mainstream,Mac OS X,Slot-loading,15.4 inches,,.95 inches,,5.6 pounds,Lithium Polymer (Li-Po),7 hr,No,77.5 Wh,,,,,,,,,,,,,,,,,"5GHz, 2.4GHz",Yes,4.0,,,,,,,,,Yes,"802.11n, 802.11g, 802.11b, 802.11a",,,,LED,"Matte, Glossy",,,1440 px,900 px,15.4 inches,LCD,,,,,,1680 px,1050 px,,,,Nvidia,512 MB,GeForce GT 650M,Switchable,Intel,HD Graphics 4000,,1 GB,Nvidia,GeForce GT 650M,Intel,HD Graphics 4000,,Silver,9.82 inches,Mainstream,.95 inches,5.6 pounds,14.35 inches,Yes,No,Chiclet,4 GB,1600 MHz,8 GB,2,DDR3,Yes,4,Trackpad,"DVD/CD-RW combo, DVD+R/W, DVD-R/RW, DVD±R/RW, Dual-layer DVD burner",Slot-loading,,1,1,,,,,,,,,1,10/100/1000 (Gigabit),,1,,,,,,,,,,,1,,2,,,Intel,Ivy Bridge,2.3 GHz,4,Core i7-3615QM,3.3 GHz,Intel,2.7 GHz,4,Ivy Bridge,Core i7-3820QM,3.6 GHz,Apple,"MacBook Pro (15-inch, mid 2012)",http://www.theverge.com/products/macbook-pro-15-inch-mid-2012/5779,,,Yes,,,,Mac OS X,500 GB,HDD (5400RPM),Yes,SD,1 TB,,512 GB,"HDD (5400RPM), HDD (7200RPM), Flash Memory (SSD)",,,720p
"MacBook Pro (13-inch, mid 2012)",,,2,Yes,,,,Intel,Ivy Bridge,,Integrated,HD Graphics 4000,Mainstream,Mac OS X,Slot-loading,13.3 inches,,.95 inches,,4.5 pounds,Lithium Polymer (Li-Po),7 hr,No,63.5 Wh,,,,,,,5331,,,10134,,,238.19,,,,"5GHz, 2.4GHz",Yes,4.0,,,,,,,,,Yes,"802.11n, 802.11g, 802.11b, 802.11a",,,,LED,Glossy,,,1280 px,800 px,13.3 inches,LCD,,,,,,,,,,,,,,Integrated,Intel,HD Graphics 4000,,,,,,,,Silver,8.94 inches,Mainstream,.95 inches,4.5 pounds,12.78 inches,Yes,No,Chiclet,4 GB,1600 MHz,8 GB,2,DDR3,Yes,4,Trackpad,"DVD/CD-RW combo, DVD+R/W, DVD-R/RW, DVD±R/RW, Dual-layer DVD burner",Slot-loading,,,,1,,,,,,,,1,10/100/1000 (Gigabit),,1,,,,,,0.37,,,,,1,,2,,,Intel,Ivy Bridge,2.5 GHz,2,Core i5-3210M,3.1 GHz,Intel,2.9 GHz,2,Ivy Bridge,Core i7-3520M,3.6 GHz,Apple,"MacBook Pro (13-inch, mid 2012)",http://www.theverge.com/products/macbook-pro-13-inch-mid-2012/5778,,,Yes,,,,Mac OS X,500 GB,HDD (5400RPM),Yes,SD,1 TB,,512 GB,"HDD (5400RPM), Flash Memory (SSD)",,,720p
"MacBook Air (13-inch, mid 2012)",,,2,,,,,Intel,Ivy Bridge,,Integrated,HD Graphics 4000,Ultraportable,Mac OS X,,13.3 inches,5 hours and 34 minutes,.68 inches,,2.96 pounds,Lithium Polymer (Li-Po),7 hr,No,50 Wh,,,,,,,6736,,,,5 hours and 34 minutes,,,,,,"5GHz, 2.4GHz",Yes,4.0,,,,,,,,,Yes,"802.11n, 802.11g, 802.11b, 802.11a",,,,LED,Glossy,,,1440 px,900 px,13.3 inches,LCD,,,,,,,,,,,,,,Integrated,Intel,HD Graphics 4000,,,,,,,,Silver,8.94 inches,Ultraportable,.68 inches,2.96 pounds,12.8 inches,Yes,No,Chiclet,4 GB,1600 MHz,8 GB,,DDR3,Yes,,Trackpad,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,2,,,Intel,Ivy Bridge,1.8 GHz,2,Core i5-3427U,2.8 GHz,Intel,2 GHz,2,Ivy Bridge,Core i7-3667U,3.2 GHz,Apple,"MacBook Air (13-inch, mid 2012)",http://www.theverge.com/products/macbook-air-13-inch-mid-2012/5777,,,Yes,,,,Mac OS X,128 GB,Flash (SSD),Yes,SD,,,512 GB,,,,720p
"MacBook Air (11-inch, mid 2012)",,,2,,,,,Intel,Ivy Bridge,,Integrated,HD Graphics 4000,Ultraportable,Mac OS X,,11.6 inches,,.68 inches,,2.38 pounds,Lithium Polymer (Li-Po),5 hr,No,35 Wh,,,,,,,,,,,,,,,,,"5GHz, 2.4GHz",Yes,4.0,,,,,,,,,Yes,"802.11n, 802.11g, 802.11b, 802.11a",,,,LED,Glossy,,,1366 px,768 px,11.6 inches,LCD,,,,,,,,,,,,,,Integrated,Intel,HD Graphics 4000,,,,,,,,Silver,7.56 inches,Ultraportable,.68 inches,2.38 pounds,11.8 inches,Yes,No,Chiclet,4 GB,1600 MHz,8 GB,,DDR3,Yes,4,Trackpad,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,2,,,Intel,Ivy Bridge,1.7 GHz,2,Core i5-3317U ,2.6 GHz,Intel,2 GHz,2,Ivy Bridge,Core i7-3667U,3.2 GHz,Apple,"MacBook Air (11-inch, mid 2012)",http://www.theverge.com/products/macbook-air-11-inch-mid-2012/5776,,,Yes,,,OS X 10.7 Lion ,Mac OS X,64 GB,Flash (SSD),,,,,512 GB,Flash Memory (SSD),,,720p
"Series 9 (15-inch, mid 2012)","NP900X4C-A03US, NP900X4C-A01US, NP900X4C-A02US",,2,,,,,Intel,Ivy Bridge,,Integrated,HD Graphics 4000,Ultraportable,Windows 7,,15 inches,,.58 inches,,3.63 pounds,Lithium Polymer (Li-Po),10 hr,No,"8400 mAh, 8 cell",,,,,,,,,,,,,,,,,,Yes,4.0,,,,,,,,,Yes,"802.11n, 802.11g, 802.11b, 802.11a",,,,LED,Matte,,,1600 px,900 px,15 inches,LCD,,,,,,,,,,,,,,Integrated,Intel,HD Graphics 4000,,,,,,,,Black,9.3 inches,Ultraportable,.58 inches,3.63 pounds,14 inches,Yes,,Chiclet,8 GB,1600 MHz,,,DDR3,Yes,,Trackpad,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,1,2,,,Intel,Ivy Bridge,1.7 GHz,2,Core i5-3317U,2.6 GHz,Intel,1.9 GHz,2,Ivy Bridge,Core i7-3517U,3 GHz,Samsung,"Series 9 (15-inch, mid 2012)",http://www.theverge.com/products/series-9-15-inch-mid-2012/5761,,,,,,,Windows 7,128 GB,Flash (SSD),Yes,"SD, MMC",,,256 GB,Flash Memory (SSD),1.3 megapixels,,720p
"Series 9 (13-inch, mid 2012)","NP900X3C-A02US, NP900X3C-A01US",,2,,,,,Intel,Ivy Bridge,,Integrated,HD Graphics 4000,Ultraportable,Windows 7,,13.3 inches,,.5 inches,,2.55 pounds,Lithium Polymer (Li-Po),9 hr,No,"5800 mAh, 4 cell",,,,,,,,,,,,,,Ethernet dongle (proprietary connection),,,,Yes,4.0,,,,,,,,,Yes,"802.11n, 802.11g, 802.11b, 802.11a",,WiDi,,LED,Matte,,,1600 px,900 px,13.3 inches,LCD,,,,,,,,,,,,,,Integrated,Intel,HD Graphics 4000,,,,,,,,Gray,8.6 inches,Ultraportable,.5 inches,2.55 pounds,12.3 inches,Yes,No,Chiclet,4 GB,1600 MHz,,,DDR3,Yes,,Trackpad,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,1,1,,,Intel,Ivy Bridge,1.7 GHz,2,Core i5-3317U ,2.6 GHz,,,,,,,Samsung,"Series 9 (13-inch, mid 2012)",http://www.theverge.com/products/series-9-13-inch-mid-2012/5760,,,,,,,Windows 7,128 GB,Flash (SSD),Yes,"SD, MMC",,,,Flash Memory (SSD),1.3 megapixels,,720p
"Series 5 Ultra (13-inch, mid 2012)",NP530U3C-A01US,,2,,,,,Intel,Ivy Bridge,,Integrated,HD Graphics 4000,Ultraportable,Windows 7,,13.3 inches,,0.69 inches,,3.24 pounds,Lithium Polymer (Li-Po),7 hr,,5120 mAh,,,,,,,,,,,,,,,,,,Yes,4.0,,,,,,,,,Yes,"802.11n, 802.11g, 802.11b",,,,,,,,1366 px,768 px,13.3 inches,LCD,,,,,,,,,,,,,,Integrated,Intel,HD Graphics 4000,,,,,,,,Silver,8.6 inches,Ultraportable,0.69 inches,3.24 pounds,12.4 inches,,,Chiclet,4 GB,,,,DDR3,,,Trackpad,,,,1,,,,,,,,,,1,10/100/1000 (Gigabit),,,1,,,,,,,,,,,3,,,,Intel,Ivy Bridge,1.7 GHz,22,Core i5-3317U ,2.6 GHz,,,,,,,Samsung,"Series 5 Ultra (13-inch, mid 2012)",http://www.theverge.com/products/series-5-ultra-13-inch-mid-2012/5759,,,,,,,Windows 7,500 GB,HDD (5400RPM),Yes,"SD, MMC",,,128 GB,"HDD (5400RPM), Flash Memory (SSD), Hybrid Drive",1.3 megapixels,,
Inspiron 17R (mid 2012),,,,,,,,Intel,Sandy Bridge,,,HD Graphics 3000,Mainstream,Windows 7,,17.3 inches,,1.46 inches,,7.15 pounds,,5.5 hr,,,,,,,,,,,,,,,,,,,,Yes,4.0,,,,,,,,,Yes,,,,,WLED,,,,1600 px,900 px,17.3 inches,,,,,,,,,,,,,,,,Intel,HD Graphics 3000,,,,,Intel,HD Graphics 400,,"Silver, Red, Pink, Blue",10.87 inches,Mainstream,1.46 inches,7.15 pounds,16.4 inches,,,,6 MB,,8 MB,,DDR3,,,Trackpad,,,,,,,,,,,,,,1,10/100/1000 (Gigabit),,,1,,,,,,,,,,,,4,1,,Intel,Sandy Bridge,2.4 GHz,2,Core i3-2367M,,Intel,3.1 GHz,4,Ivy Bridge,Core i7-3612QM,,Dell,Inspiron 17R (mid 2012),http://www.theverge.com/products/inspiron-17r-mid-2012/5758,,,,,,,Windows 7,500 GB,,Yes,,1 TB,,,HDD (5400RPM),,,
Series 5 500,,SoundAlive,3,Yes,,,Nvidia,Intel,Ivy Bridge,,Discrete,,Mainstream,Windows 7,,14 inches,,,,5 pounds,,6 hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,"802.11n, 802.11g, 802.11b",,,,LED,,,112,1366 px,768 px,14 inches,,,,,,,,,,,,Nvidia,,GeForce GT 630M,Discrete,,,,,,,,,,Silver/Gray,,Mainstream,,5 pounds,,Yes,,Chiclet,8 GB,,8 GB,,,,,Trackpad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intel,Ivy Bridge,2.5 GHz,2,Core i5-3210M,3.1 GHz,,,,,,,Samsung,Series 5 500,http://www.theverge.com/products/series-5-500/5756,,,,,,,Windows 7,500 GB,,,,500 GB,,,HDD (Unspecified RPM),1.3 megapixels,,
"Series 5 (15.6-inch, mid 2012)",,SoundAlive,3,Yes,,,Nvidia,Intel,Ivy Bridge,,Discrete,,Mainstream,Windows 7,,15.6 inches,,,,5.5 pounds,,6 hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,"802.11n, 802.11g, 802.11b, 802.11a",,,,LED,,,100,1366 px,768 px,15.6 inches,,,,,,,,,,,,Nvidia,,GeForce GT 630M,Discrete,,,,,,,,,,Silver,,Mainstream,,5.5 pounds,,,Yes,Chiclet,8 GB,,8 GB,,,,,Trackpad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intel,Ivy Bridge,2.3 GHz,4,Core i7-3610QM ,3.3 GHz,Intel,2.3 GHz,4,Ivy Bridge,Core i7-3610QM,3.3 GHz,Samsung,"Series 5 (15.6-inch, mid 2012)",http://www.theverge.com/products/series-5-15-6-inch-mid-2012/5755,,,,,,,Windows 7,750 GB,,,,750 GB,,,HDD (Unspecified RPM),1.3 megapixels,,
G75VW,,SonicMaster Lite,,Yes,,,Nvidia,Intel,Ivy Bridge,,Discrete,,"Desktop replacement, Gaming PC",Windows 7,Tray-loading,17.3 inches,,2.05 inches,,9.92 pounds,,,,"8 cell, 5200 mAh, 74 Wh",,,,,,,,,,,,,,,,,,Optional,4.0,,,,,,,,,Yes,"802.11n, 802.11g, 802.11b",,,,LED,Matte,,,1600 px,900 px,17.3 inches,LCD,,Yes,LED,,,1920 px,1080 px,17.3 inches,LCD,,Nvidia,2 GB,GeForce GTX 660M,Discrete,,,,3 GB,Nvidia,GeForce GTX 670M,,,,Black / Gray,12.6 inches,"Desktop replacement, Gaming PC",2.05 inches,9.92 pounds,16.34 inches,,Yes,Chiclet,,1600 MHz,16 GB,4,DDR3,,,Trackpad,"DVD Super Multi, BD-ROM, BD Combo",Tray-loading,,1,1,,,,,1,,,,1,10/100/1000 (Gigabit),,,1,,,,,1,,,,,,,4,1,,Intel,Ivy Bridge,2.3 GHz,4,Core i7-3610QM,3.3 GHz,Intel,2.6 GHz,4,Ivy Bridge,Core i7-3720QM,3.6 GHz,Asus,G75VW,http://www.theverge.com/products/g75vw/5750,,,,,,,Windows 7,500 GB,HDD (5400RPM),Yes,"SD, Memory Stick, MMC",1 TB,,256 GB,"HDD (5400RPM), HDD (7200RPM), Flash Memory (SSD), RAID 0 (HDD), RAID 1 (HDD)",,,720p
Inspiron 15R (mid 2012),,,,,,,,Intel,Sandy Bridge,,,HD Graphics 3000,Mainstream,Windows 7,,15.6 inches,,1.34 inches,,6.05 pounds,,6.75 hr,,,,,,,,,,,,,,,,,,,,Yes,4.0,,,,,,,,,Yes,,,,,WLED,,,,1366 px,768 px,15.6 inches,,,,,,,,,,,,,,,,Intel,HD Graphics 3000,,,,,,,,"Silver, Red, Pink, Blue",9.92 inches,Mainstream,1.34 inches,6.05 pounds,14.88 inches,,,,6 MB,,8 MB,,DDR3,,,Trackpad,,,,,,,,,,,,,,1,10/100/1000 (Gigabit),,,1,,,,,,,,,,,,4,1,,Intel,Sandy Bridge,2.4 GHz,2,Core i3-2370M,,Intel,3.1 GHz,4,Ivy Bridge,Core i7-3612QM,,Dell,Inspiron 15R (mid 2012),http://www.theverge.com/products/inspiron-15r-mid-2012/5748,,,,,,,Windows 7,500 GB,,Yes,,1 TB,,,HDD (5400RPM),,,
Inspiron 13z (mid 2012),,Skullcandy,,,,,,Intel,Sandy Bridge,,Integrated,HD Graphics 3000,,Windows 7,,13.3 inches,,.82 inches,,3.81 pounds,,7.5 hr,,,,,,,,,,,,,,,,,,,,Yes,4.0,,,,,,,,,Yes,,,,,WLED,,,,1366 px,768 px,13.3 inches,,,,,,,,,,,,,,,Integrated,Intel,HD Graphics 3000,,,,,Intel,HD Graphics 4000,,"Silver, Red, Pink",,,.82 inches,3.81 pounds,,,,,6 GB,,,,,,,Trackpad,,,,,,,,,,,,,,1,10/100/1000 (Gigabit),,,1,,,,,,,,,,,,3,,,Intel,Sandy Bridge,1.4 GHz,,Core i3-2367M,,Intel,2.6 GHz,,Ivy Bridge,Core i5-3317U,,Dell,Inspiron 13z (mid 2012),http://www.theverge.com/products/inspiron-13z-mid-2012/5747,,,,,,,Windows 7,320 GB,,Yes,,,,,HDD (Unspecified RPM),,,
LaVie Z,,,,,,,,Intel,Ivy Bridge,,Integrated,HD Graphics 4000,Ultraportable,Windows 7,,13.3 inches,,.59 inches,,1.92 pounds,,8 hr,,,,,,,,,,,,,,,,,,,,Yes,4.0,,,,,,,,,Yes,"802.11n, 802.11g, 802.11b, 802.11a",,,,,,,138.03,1600 px,900 px,13.3 inches,LCD,,,,,,,,,,,,1696 MB,,Integrated,Intel,HD Graphics 4000,,,,,,,,Silver,8.23 inches,Ultraportable,.59 inches,1.92 pounds,12.31 inches,,,Chiclet,4 GB,,,,DDR3,,,Trackpad,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,,,Intel,Ivy Bridge,1.7 GHz,2,Core i5-3317U,2.6 GHz,Intel,1.9 GHz,2,Ivy Bridge,Core i7-3517U,3 GHz,NEC,LaVie Z,http://www.theverge.com/products/lavie-z/5746,,,,,,,Windows 7,128 GB,Flash (SSD),Yes,SD,,,256 GB,,,,720p
